Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Jordan Holloway,MIA,15.2,66,9.19148936,4.59574468,2,0.57446808,0.24242424,0.12121212,0.12121212,0.19298246,1.21276596,0.24390244,0.45454545,3.489183062,4.57391643,20631
Yusei Kikuchi,SEA,39.2,146,9.07563025,2.26890756,4,1.13445378,0.2739726,0.06849315,0.20547945,0.14705882,0.75630252,0.16483516,0.69565217,3.548185382,3.33288088,20633
Humberto Mejia,ARI,10.1,48,9.58064516,2.61290323,3.66666667,2.61290323,0.22916667,0.0625,0.16666667,0.36363636,1.83870968,0.41935484,0.54054054,5.686163152,4.302395714,20739
Cristopher Sanchez,PHI,5,23,12.6,5.4,2.33333333,0,0.30434783,0.13043478,0.17391305,0.3,1.8,0.46153846,0.44444444,2.170034122,2.875778973,20778
Manuel Rodriguez,CHC,8.2,47,8.3076923,10.38461538,0.8,3.11538461,0.17021277,0.21276596,-0.04255319,0.32432432,2.53846154,0.34615385,0.4494382,9.285418732,6.617640945,20794
Eduard Bazardo,BOS,2,7,9,4.5,2,0,0.28571429,0.14285714,0.14285715,0,0.5,0,1,2.670034122,5.316577312,20997
Francisco Perez,CLE,2.2,12,6.74999999,0,2,0,0.16666667,0,0.16666667,0.36363636,1.5,0.4,0.5,1.670034122,4.316577311,21018
Oliver Ortega,LAA,3,15,0,3,0,0,0,0.06666667,-0.06666667,0.42857143,2.33333333,0.42857143,0.85714286,4.170034122,6.522516958,21025
Emmanuel Clase,CLE,33,131,9,2.18181818,4.125,0.27272727,0.2519084,0.0610687,0.1908397,0.17886179,0.90909091,0.23595506,0.73426573,2.291246242,2.752755154,21032
Seth Martinez,HOU,1.2,7,5.39999999,5.39999999,1,0,0.14285714,0.14285714,0,0.33333333,1.8,0.4,-0.33333333,3.770034122,5.887268669,21045
Luis Gil,NYY,11.1,50,10.32352941,6.35294118,1.625,0.79411765,0.26,0.16,0.1,0.16666667,1.32352941,0.21428571,0.88235294,4.140622362,5.484427714,21052
