Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Dom Nunez,COL,81,228,263,43,18,12,3,10,31,33,34,4,91,0,1,0,0,0,0,0.189,15055
Austin Wynns,BAL,45,130,139,24,16,4,0,4,14,14,8,0,31,0,0,1,6,1,0,0.185,15271
Sandy Leon,MIA,84,202,220,37,28,5,0,4,15,14,12,0,65,3,2,1,2,0,0,0.183,5273
Seby Zavala,CHW,37,93,104,17,9,3,0,5,15,15,6,0,41,1,0,4,1,0,0,0.183,18887
Kyle Higashioka,NYY,67,193,211,35,15,10,0,10,20,29,17,0,59,0,1,0,4,0,0,0.181,5517
Cal Raleigh,SEA,47,139,148,25,11,12,0,2,6,13,7,0,52,1,1,0,3,0,0,0.18,21534
Austin Hedges,CLE,88,286,312,51,34,7,0,10,32,31,15,1,87,1,3,7,7,1,0,0.178,12976
Andrew Knizner,STL,63,161,185,28,20,7,0,1,18,9,20,2,39,4,0,0,7,0,0,0.174,19514
Martin Maldonado,HOU,125,373,426,64,41,10,1,12,40,36,47,1,127,5,1,0,9,0,0,0.172,6887
Kevan Smith,- - -,33,95,106,16,13,3,0,0,8,3,10,3,31,0,0,0,3,0,0,0.168,12284
Andrew Knapp,PHI,62,145,159,22,17,3,0,2,13,11,10,0,61,2,1,1,1,0,0,0.152,14942
Roberto Perez,CLE,44,141,161,21,11,3,0,7,13,17,17,0,56,1,0,2,1,1,0,0.149,2900
Michael Perez,PIT,70,210,231,30,14,8,1,7,19,21,19,1,68,2,0,0,4,0,1,0.143,12977
Alex Jackson,- - -,52,131,151,18,11,4,0,3,13,12,13,1,73,7,0,0,0,0,0,0.137,17276
