Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Mike Tauchman,SFG,0.1,3,0,0,0,0,0,0,0,0.66666667,6.00000006,0.66666667,0.5,3.170034122,8.463120555,15274
Adam Cimber,2 Tms,46.2,185,5.78571429,0.77142857,7.5,0.19285714,0.16216216,0.02162162,0.14054054,0.25862069,1.05,0.30555556,0.74626866,2.805748412,3.434563216,15288
Austin Pruitt,2 Tms,5,17,7.2,0,4,1.8,0.23529412,0,0.23529412,0.17647059,0.6,0.16666667,0.625,4.170034122,3.687268674,15290
Steven Brault,PIT,23,109,6.65217391,3.91304348,1.7,1.17391304,0.1559633,0.09174312,0.06422018,0.31632653,1.7826087,0.35443038,0.625,4.691773252,5.220751586,15291
Jack Mayfield,SEA,0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.170034122,3.170034122,15402
Andrew Heaney,2 Tms,97.1,418,10.9109589,2.86643836,3.80645161,2.21917808,0.28229665,0.07416268,0.20813397,0.25526316,1.31506849,0.30290456,0.6300813,5.029623162,4.071892722,15423
Matthew Boyd,DET,60,258,7.65,2.85,2.68421053,0.9,0.19767442,0.07364341,0.12403101,0.25,1.26666667,0.29142857,0.79088472,4.070034122,5.122516958,15440
Mike Mayers,LAA,42.2,173,9.0703125,2.109375,4.3,1.265625,0.24855491,0.05780347,0.19075144,0.25,1.171875,0.30357143,0.80275229,3.826284122,3.693600853,15451
Nick Pivetta,BOS,95.2,399,9.97212544,3.19860627,3.11764706,1.41114983,0.26566416,0.08521303,0.18045113,0.23463687,1.23344948,0.28630705,0.66,4.152612522,4.179879678,15454
Jose De Leon,CIN,10.2,48,16.87499999,1.6875,10,0.84375,0.41666667,0.04166667,0.375,0.28571429,1.3125,0.47826087,0.61643836,1.763784122,2.033714667,15463
Marco Gonzales,SEA,103.2,435,6.8585209,3.21221865,2.13513514,1.99678457,0.1816092,0.08505747,0.09655173,0.24234694,1.2733119,0.24657534,0.83815029,5.716657912,5.606603511,15467
Lucas Giolito,CHW,94.2,374,9.88732394,2.18661972,4.52173913,1.71126761,0.27807487,0.06149733,0.21657754,0.21714286,1.04577465,0.25438596,0.84224599,4.205245392,3.690365354,15474
Antonio Senzatela,COL,81.1,344,6.86065574,1.54918033,4.42857143,0.77459016,0.18023256,0.04069767,0.13953489,0.2807571,1.26639344,0.3203125,0.66191446,3.465116092,3.843079041,15488
Stephen Gonsalves,BOS,2,9,4.5,4.5,1,0,0.11111111,0.11111111,0,0.14285714,1,0.16666667,0.33333333,5.170034122,6.934396249,15492
Kohl Stewart,CHC,5.1,31,8.43750001,8.43750001,1,0,0.16129032,0.16129032,0,0.29166667,2.25,0.36842105,0.64285714,5.232534122,6.886623618,15502
Hunter Harvey,BAL,5.2,23,7.94117647,4.76470588,1.66666667,1.58823529,0.2173913,0.13043478,0.08695652,0.25,1.41176471,0.28571429,0.75757576,5.287681182,4.238995623,15507
Kendall Graveman,2 Tms,31.2,117,9.66315789,2.27368421,4.25,0,0.29059829,0.06837607,0.22222222,0.11650485,0.63157895,0.17391304,0.96153846,2.348981492,3.017581876,15514
Eric Yardley,MIL,14,59,3.21428571,3.21428571,1,1.28571429,0.08474576,0.08474576,0,0.24,1.21428571,0.22727273,0.63953488,6.027176982,5.178241052,15538
Tyler Rogers,SFG,40,173,6.975,1.575,4.42857143,0.9,0.17919075,0.04046243,0.13872832,0.2969697,1.4,0.34615385,0.85603113,3.520034122,3.807960036,15541
Chad Green,NYY,49,180,10.83673469,1.65306122,6.55555556,1.46938776,0.32777778,0.05,0.27777778,0.18823529,0.83673469,0.23076923,0.70469799,3.435340242,3.365312515,15552
Nick Wittgren,CLE,39.2,147,9.07563025,1.36134454,6.66666667,1.58823529,0.27210884,0.04081633,0.23129251,0.2189781,0.90756303,0.24468085,0.72519084,3.901126562,3.119319307,15594
Phillips Valdez,BOS,25.2,109,7.71428571,4.90909091,1.57142857,1.05194805,0.20183486,0.12844037,0.07339449,0.18604651,1.16883117,0.20634921,0.6402439,5.429774382,4.941414586,15605
Willians Astudillo,MIN,2.1,10,0,3.85714286,0,3.85714286,0,0.1,-0.1,0.11111111,0.85714286,0,1,10.02717699,5.968058806,15608
Yefry Ramirez,LAD,1.2,4,10.79999998,0,2,0,0.5,0,0.5,0,0,0,1,0.770034122,0.770034127,15655
Miguel Castro,NYM,36,156,11,6.5,1.69230769,1.25,0.28205128,0.16666667,0.11538461,0.1796875,1.36111111,0.2278481,0.75,4.864478562,4.431204665,15684
Luis Castillo,CIN,97.1,395,8.87671233,1.94178082,4.57142857,1.10958904,0.24303797,0.05316456,0.18987341,0.26373626,1.20205479,0.32183908,0.66539924,3.601540972,2.977659686,15689
Brad Keller,KCR,65,298,6.64615385,4.56923077,1.45454545,1.24615385,0.16107383,0.11073826,0.05033557,0.29296875,1.66153846,0.32195122,0.66056911,5.154649502,5.227587765,15734
Joe Jimenez,DET,28.1,128,11.11764706,6.35294118,1.75,1.27058824,0.2734375,0.15625,0.1171875,0.1980198,1.41176471,0.25396825,0.76732673,5.287681182,5.63189322,15761
Devin Williams,MIL,25.1,104,17.40789474,3.19736842,5.44444444,0.35526316,0.47115385,0.08653846,0.38461539,0.18085106,1.02631579,0.36363636,0.703125,0.998981492,1.321574077,15816
Zack Littell,SFG,39.2,158,8.62184874,2.94957983,2.92307692,1.13445378,0.24050633,0.08227848,0.15822785,0.18309859,0.98319328,0.20792079,0.87878788,3.951546722,4.269998834,15823
Paul Fry,BAL,29,129,12.10344828,6.20689655,1.95,0,0.30232558,0.15503876,0.14728682,0.20192308,1.4137931,0.31818182,0.55555556,2.963137572,3.693218451,15832
Adam Plutko,BAL,37.1,163,5.54464286,5.30357143,1.04545455,2.65178571,0.14110429,0.13496933,0.00613496,0.27007299,1.58035714,0.24299065,0.66513761,7.536105552,6.446810998,15846
Kent Emanuel,HOU,10,35,6.3,0.9,7,2.7,0.2,0.02857143,0.17142857,0.15151515,0.6,0.08695652,1,6.270034122,3.781523824,15849
Wander Suero,WSN,23.2,103,9.12676056,1.90140845,4.8,2.28169014,0.23300971,0.04854369,0.18446602,0.26086957,1.22535211,0.28125,0.48780488,5.578484822,4.891978112,15855
Stephen Tarpley,NYM,0,2,0,18,0,0,0,1,-1,0,2,0,1,9.170034122,9.170034122,15859
Sean Manaea,OAK,133,577,9.20300752,2.30075188,4,1.21804511,0.23570191,0.05892548,0.17677643,0.27102804,1.34586466,0.33246073,0.80223881,3.809131862,3.999817826,15873
Luis Severino,NYY,5.1,18,13.50000001,1.6875,8,0,0.44444444,0.05555556,0.38888888,0.05882353,0.375,0.11111111,1,0.732534122,1.724987818,15890
Lewis Thorpe,MIN,12.2,54,4.26315789,4.26315789,1,1.42105263,0.11111111,0.11111111,0,0.22916667,1.34210526,0.225,0.63380282,5.696349912,5.315219294,15906
