Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Domingo Leyba,2 Tms,75,0.10666667,0.24,0.44444444,0.10606061,0.21333333,0.16666667,0.38,0.06060606,0.12765957,1.070829988,-8.011400751,0.185321422,10.32948374,16404
Sergio Alcantara,CHC,174,0.12068966,0.31609195,0.38181818,0.23178808,0.32947977,0.39072848,0.72020825,0.1589404,0.32967033,21.12933913,0.058563817,0.314833247,94.54088555,16417
Jordan Luplow,2 Tms,84,0.10714286,0.28571429,0.375,0.24657534,0.3452381,0.54794521,0.89318331,0.30136987,0.27906977,14.55358865,4.381490226,0.377469693,142.9031887,16424
Thairo Estrada,SFG,72,0.05555556,0.18055556,0.30769231,0.3030303,0.36111111,0.56060606,0.92171717,0.25757576,0.3125,13.2824546,4.56351309,0.39103245,148.283904,16426
Jason Martin,TEX,117,0.06837607,0.26495726,0.25806452,0.24299065,0.29310345,0.43925234,0.73235579,0.19626169,0.28169014,13.97488682,-0.193393136,0.312428656,98.3015004,16429
Christian Arroyo,BOS,107,0.05607477,0.25233645,0.22222222,0.21276596,0.30188679,0.38297872,0.68486551,0.17021276,0.265625,11.83343016,-1.123885693,0.301731404,85.61983395,16434
Ryan O'Hearn,KCR,220,0.05,0.27727273,0.18032787,0.23414634,0.27272727,0.4,0.67272727,0.16585366,0.2826087,21.67752005,-4.963690123,0.287156903,78.28976026,16442
Johneshwy Fargas,2 Tms,31,0.03225806,0.32258065,0.1,0.27586207,0.3,0.4137931,0.7137931,0.13793103,0.42105263,3.541527034,-0.212461672,0.304608824,92.42455316,16446
Jacob Nottingham,2 Tms,23,0.04347826,0.43478261,0.1,0.1,0.17391304,0.1,0.27391304,0,0.18181818,-0.57397804,-3.359195467,0.137902594,-13.60482857,16448
Luis Guillorme,NYM,118,0.16949153,0.13559322,1.25,0.26530612,0.38983051,0.32653061,0.71636112,0.06122449,0.30864198,15.17150667,0.882130305,0.323461838,107.4419417,16451
Rhys Hoskins,PHI,293,0.09897611,0.25255973,0.39189189,0.24521073,0.32081911,0.50957854,0.83039765,0.26436781,0.27325581,44.25792631,8.776678224,0.350630616,117.6395213,16472
Kyle Schwarber,2 Tms,322,0.13354037,0.26086957,0.51190476,0.26449275,0.36645963,0.62318841,0.98964804,0.35869566,0.27272727,64.50108015,25.50803618,0.410201989,157.1492553,16478
Ryan Yarbrough,TBR,4,0,0.5,0,0,0,0,0,0,0,-0.556212622,-1.040598261,0,-100,16502
Matt Chapman,OAK,414,0.13285024,0.32850242,0.40441176,0.20057307,0.3115942,0.35816619,0.66976039,0.15759312,0.27669903,44.07703023,-6.056883449,0.296743904,90.57263746,16505
Jordan Montgomery,NYY,4,0,1,0,0,0,0,0,0,0,-0.556212622,-1.040598261,0,-100,16511
Isiah Kiner-Falefa,TEX,463,0.04535637,0.13606911,0.33333333,0.2886836,0.33116883,0.38106236,0.71223119,0.09237876,0.3260274,54.78145587,-1.286181896,0.311068941,97.38294452,16512
Ryan McBroom,KCR,5,0.2,0.6,0.33333333,0.25,0.4,0.25,0.65,0,1,0.604356495,-0.001125554,0.314154375,96.52791929,16524
Mauricio Dubon,SFG,114,0.03508772,0.26315789,0.13333333,0.23364486,0.26315789,0.34579439,0.60895228,0.11214953,0.2987013,8.882951404,-4.92203932,0.262242592,64.60809949,16530
Danny Jansen,TOR,137,0.08029197,0.20437956,0.39285714,0.25806452,0.32352941,0.54032258,0.86385199,0.28225806,0.27272727,22.18006701,5.589858857,0.363741135,128.3161916,16535
Shed Long Jr.,SEA,68,0.08823529,0.33823529,0.26086957,0.22580645,0.29411765,0.40322581,0.69734346,0.17741936,0.30555556,7.55912354,-0.67543233,0.302421266,95.14821297,16542
Ozzie Albies,ATL,511,0.07632094,0.2035225,0.375,0.23655914,0.29549902,0.45376344,0.74926246,0.2172043,0.25797101,62.65112084,0.770855404,0.316249709,94.30881014,16556
Austin Gomber,COL,22,0,0.22727273,0,0,0,0,0,0,0,-3.059169419,-5.723290436,0,-100,16561
Connor Joe,COL,152,0.125,0.21052632,0.59375,0.27692308,0.375,0.43846154,0.81346154,0.16153846,0.33684211,23.54700915,5.140354849,0.355300296,108.9312775,16572
Yandy Diaz,TBR,323,0.13622291,0.16099071,0.84615385,0.23357664,0.34365325,0.34671533,0.69036858,0.11313869,0.26267281,37.79097813,-1.323162255,0.309475297,100.6320258,16578
Kevin Padlo,2 Tms,4,0.25,0.5,0.5,0,0.25,0,0.25,0,0,0.016098515,-0.468287124,0.172929138,10.49673329,16593
Luis Urias,MIL,435,0.11264368,0.2137931,0.52688172,0.25066667,0.34872979,0.43733333,0.78606312,0.18666666,0.29213483,61.88593951,9.209001223,0.340013445,110.7631305,16622
Greg Allen,NYY,33,0.03030303,0.27272727,0.11111111,0.18518519,0.3030303,0.33333333,0.63636363,0.14814814,0.26315789,3.179357215,-0.81682431,0.284509959,79.17127631,16623
Jason Vosler,SFG,73,0.09589041,0.26027397,0.36842105,0.16923077,0.26027397,0.32307692,0.58335089,0.15384615,0.20454545,5.156081508,-3.683956411,0.253432385,58.884037,16686
Jose Trevino,TEX,206,0.03883495,0.2184466,0.17777778,0.26153846,0.28640777,0.37948718,0.66589495,0.11794872,0.31081081,19.75323092,-5.192629507,0.283960406,79.06975632,16725
Brian O'Grady,SDP,56,0.14285714,0.26785714,0.53333333,0.17391304,0.29090909,0.36956522,0.66047431,0.19565218,0.2,5.614999456,-1.166399496,0.289252276,82.6823527,16729
John Nogowski,2 Tms,97,0.08247423,0.15463918,0.53333333,0.2183908,0.28865979,0.29885057,0.58751036,0.08045977,0.25,7.63939428,-4.106957476,0.263253032,63.59128689,16852
Joshua Fuentes,COL,193,0.02590674,0.22797927,0.11363636,0.21925134,0.23834197,0.32620321,0.56454518,0.10695187,0.25899281,12.0082456,-11.3633615,0.243264888,36.14097346,16885
Colin Moran,PIT,264,0.09469697,0.24242424,0.390625,0.28813559,0.35227273,0.43220339,0.78447612,0.1440678,0.35928144,37.51761044,5.548158241,0.339826871,112.7628265,16909
Luke Weaver,ARI,20,0.05,0.55,0.09090909,0.11111111,0.15789474,0.11111111,0.26900585,0,0.28571429,-0.647448995,-3.069377192,0.128938273,-27.05347471,16918
Aramis Garcia,OAK,72,0.01388889,0.33333333,0.04166667,0.19402985,0.22857143,0.34328358,0.57185501,0.14925373,0.25,4.71782328,-4.001118229,0.247261167,57.14454326,16925
Touki Toussaint,ATL,10,0.1,0.5,0.2,0,0.1,0,0.1,0,0,-0.818220417,-2.029184516,0.069171655,-66.21978526,16929
Jonah Heim,TEX,204,0.05882353,0.19117647,0.30769231,0.17368421,0.2254902,0.32105263,0.54654283,0.14736842,0.17931034,11.72933785,-12.97432976,0.23755754,47.72227017,16930
Elieser Hernandez,MIA,13,0,0.46153846,0,0,0,0,0,0,0,-1.80769102,-3.381944349,0,-100,16933
Lane Thomas,2 Tms,186,0.11827957,0.26344086,0.44897959,0.17791411,0.27419355,0.33742331,0.61161686,0.1595092,0.21100917,15.81601193,-6.707920299,0.270838053,66.62672718,16939
Sean Newcomb,ATL,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,16943
Derek Hill,DET,87,0.09195402,0.31034483,0.2962963,0.21794872,0.29885057,0.33333333,0.6321839,0.11538461,0.30612245,8.178141882,-2.357245775,0.281678693,76.32895294,16947
Chadwick Tromp,SFG,13,0,0.23076923,0,0.23076923,0.23076923,0.46153846,0.69230769,0.23076923,0.22222222,1.30708083,-0.267172498,0.289586865,82.37389303,16953
Eddy Alvarez,MIA,49,0.04081633,0.26530612,0.15384615,0.22727273,0.30612245,0.38636364,0.69248609,0.15909091,0.3,5.201802202,-0.731921881,0.296372818,87.78310268,16959
Trevor Williams,2 Tms,20,0,0.25,0,0.22222222,0.22222222,0.22222222,0.44444444,0,0.30769231,0.335984614,-2.085943583,0.195345627,14.87824776,16977
Gleyber Torres,NYY,358,0.10055866,0.2122905,0.47368421,0.24451411,0.31843575,0.3322884,0.65072415,0.08777429,0.30578512,36.08379409,-7.268720638,0.289886657,82.8035086,16997
Edmundo Sosa,STL,247,0.05263158,0.20242915,0.26,0.28767123,0.35918367,0.39269406,0.75187773,0.10502283,0.35151515,33.06347402,3.152660788,0.329853267,109.4035928,17022
Magneuris Sierra,MIA,176,0.08522727,0.22159091,0.38461538,0.225,0.29142857,0.275,0.56642857,0.05,0.29752066,11.39423376,-9.918734375,0.246311954,55.25815685,17023
Alex Verdugo,BOS,402,0.10447761,0.15174129,0.68852459,0.32112676,0.39205955,0.50140845,0.893468,0.18028169,0.35888502,69.87753711,21.19678035,0.37815585,137.2484171,17027
Sean Reid-Foley,NYM,1,1,0,1,0,1,0,1,0,0,0.433257982,0.312161572,0.691716552,346.6999858,17034
Grayson Greiner,DET,55,0.12727273,0.36363636,0.35,0.25,0.34545455,0.375,0.72045455,0.125,0.40740741,6.918826567,0.258524025,0.320107575,102.2896086,17062
Pablo Lopez,MIA,21,0,0.57142857,0,0.05263158,0.05263158,0.10526316,0.15789474,0.05263158,0.14285714,-1.784667082,-4.327691689,0.065349817,-62.3143959,17085
Dustin Fowler,PIT,39,0.07692308,0.41025641,0.1875,0.17647059,0.25641026,0.20588235,0.46229261,0.02941176,0.31578947,1.555038318,-3.167721667,0.216256545,32.47819368,17098
Austin Davis,BOS,1,1,0,1,0,1,0,1,0,0,0.433257982,0.312161572,0.691716552,349.0745492,17117
Ramon Laureano,OAK,249,0.06425703,0.29718876,0.21621622,0.21681416,0.28514056,0.42477876,0.70991932,0.2079646,0.26760563,28.18607809,-1.966927962,0.304879053,96.0683425,17128
Domingo German,NYY,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17149
Chad Wallach,MIA,44,0.06818182,0.43181818,0.15789474,0.20512821,0.27272727,0.28205128,0.55477855,0.07692307,0.38095238,2.884394774,-2.44384726,0.247296343,55.89772245,17161
Dinelson Lamet,SDP,6,0.16666667,0.83333333,0.2,0,0.16666667,0,0.16666667,0,0,-0.262007795,-0.988586255,0.115286092,-30.34487356,17186
Monte Harrison,MIA,3,0,0.33333333,0,0.33333333,0.33333333,0.33333333,0.66666666,0,0.5,0.310151669,-0.053137561,0.29301844,85.60373633,17216
Yoan Moncada,CHW,462,0.15367965,0.22943723,0.66981132,0.26753247,0.38528139,0.43116883,0.81645022,0.16363636,0.33828996,72.68194866,16.7354073,0.358207916,129.0398363,17232
Jorge Mateo,2 Tms,134,0.04477612,0.24626866,0.18181818,0.24390244,0.29850746,0.37398374,0.6724912,0.1300813,0.30681818,13.9078381,-2.319080819,0.293509083,84.45055148,17273
Alex Jackson,2 Tms,111,0.07207207,0.4954955,0.14545455,0.15625,0.27027027,0.29166667,0.56193694,0.13541667,0.31578947,7.786600305,-5.655101189,0.253764797,58.29746774,17276
Ranger Suarez,PHI,18,0.05555556,0.16666667,0.33333333,0.18181818,0.30769231,0.27272727,0.58041958,0.09090909,0.25,1.545997215,-0.633738163,0.271873144,66.47015937,17277
Bobby Bradley,CLE,201,0.08955224,0.33830846,0.26470588,0.2259887,0.30348259,0.4519774,0.75545999,0.2259887,0.28712871,25.29008144,0.949703056,0.320137131,102.3408924,17278
Michael Kopech,CHW,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17282
Javy Guerra,SDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17292
Framber Valdez,HOU,4,0,0.5,0,0,0,0,0,0,0,-0.556212622,-1.040598261,0,-100,17295
Justin Steele,CHC,11,0,0.18181818,0,0.18181818,0.18181818,0.18181818,0.36363636,0,0.22222222,-0.074962439,-1.407022948,0.15982824,-6.167112027,17312
Michael Chavis,2 Tms,73,0.01369863,0.35616438,0.03846154,0.22857143,0.24657534,0.3,0.54657534,0.07142857,0.35555556,4.125720133,-4.714317787,0.236373027,42.2422877,17321
Cole Tucker,PIT,97,0.10309278,0.24742268,0.41666667,0.24418605,0.31958763,0.39534884,0.71493647,0.15116279,0.31147541,11.41416604,-0.332185719,0.310287359,93.57076824,17326
Willi Castro,DET,314,0.05732484,0.27707006,0.20689655,0.19298246,0.25641026,0.33684211,0.59325237,0.14385965,0.24479167,23.3023902,-14.72188249,0.257759524,60.17034297,17338
Rafael Devers,BOS,412,0.10194175,0.24757282,0.41176471,0.28021978,0.35679612,0.62087912,0.97767524,0.34065934,0.30042918,79.25950405,29.36778319,0.400579356,152.3966306,17350
Edgar Santana,ATL,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17355
Yermin Mercedes,CHW,192,0.078125,0.20833333,0.375,0.24571429,0.30729167,0.36,0.66729167,0.11428571,0.29007634,19.92234353,-3.328167165,0.293475688,85.30993795,17423
Erick Fedde,WSN,26,0.03846154,0.42307692,0.09090909,0,0.04545455,0,0.04545455,0,0,-2.939014333,-6.08752099,0.031441661,-90.08745249,17425
Jeff Hoffman,CIN,14,0,0.21428571,0,0.07692308,0.07692308,0.07692308,0.15384616,0,0.1,-1.16348603,-2.858835768,0.06761964,-69.9407678,17432
Jose Siri,HOU,32,0,0.40625,0,0.29032258,0.3125,0.58064516,0.89314516,0.29032258,0.4,5.491925705,1.61684059,0.375494381,142.3786606,17452
Kelvin Gutierrez,2 Tms,214,0.06542056,0.25233645,0.25925926,0.22335025,0.28504673,0.28426396,0.56931069,0.06091371,0.3028169,15.62144251,-10.2931892,0.256292191,57.53148898,17468
Troy Stokes Jr.,PIT,14,0,0.21428571,0,0.14285714,0.14285714,0.21428571,0.35714285,0.07142857,0.18181818,-0.192121876,-1.887471614,0.151478704,-9.60849007,17478
Jack Flaherty,STL,23,0.2173913,0.26086957,0.83333333,0.07142857,0.3,0.07142857,0.37142857,0,0.11111111,0.928974269,-1.856243157,0.216881904,36.00519156,17479
Eloy Jimenez,CHW,172,0.06395349,0.23837209,0.26829268,0.275,0.31976744,0.475,0.79476744,0.2,0.32142857,24.24267752,3.414095024,0.338417163,115.6701807,17484
