Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Mike Trout,LAA,134,600,45,110,104,11,18.30%,20.00%,0.353,0.298,0.291,0.438,0.645,0.436,0.451,177,7.1,65.9,-0.3,8.4,10155
Alex Bregman,HOU,156,690,41,122,112,5,17.20%,12.00%,0.296,0.281,0.296,0.423,0.592,0.418,0.369,167,-2.1,57.3,4.8,8.4,17678
Christian Yelich,MIL,130,580,44,100,97,30,13.80%,20.30%,0.342,0.355,0.329,0.429,0.671,0.442,0.424,174,8.5,65.2,-3.9,7.8,11477
Cody Bellinger,LAD,156,660,47,121,115,15,14.40%,16.40%,0.324,0.302,0.305,0.406,0.629,0.415,0.424,161,1.4,54.2,3.4,7.7,15998
Marcus Semien,OAK,162,747,33,123,92,10,11.60%,13.70%,0.237,0.294,0.285,0.369,0.522,0.373,0.353,138,1.7,37.7,14.1,7.6,12533
Anthony Rendon,WSN,146,646,34,117,126,5,12.40%,13.30%,0.279,0.323,0.319,0.412,0.598,0.413,0.412,155,0.4,47.1,4.2,7,12861
Ketel Marte,ARI,144,628,32,97,92,10,8.40%,13.70%,0.264,0.342,0.329,0.389,0.592,0.405,0.373,149,4.2,45,6.7,7,13613
Xander Bogaerts,BOS,155,698,33,110,117,4,10.90%,17.50%,0.246,0.338,0.309,0.384,0.555,0.39,0.349,141,1,37.5,8.1,6.8,12161
Mookie Betts,BOS,150,706,29,135,80,16,13.70%,14.30%,0.229,0.309,0.295,0.391,0.524,0.38,0.408,135,5.6,36.8,6.3,6.6,13611
George Springer,HOU,122,556,39,96,96,6,12.10%,20.30%,0.299,0.305,0.292,0.383,0.591,0.4,0.39,155,0.9,40.1,6.4,6.4,12856
Matt Chapman,OAK,156,670,36,102,91,1,10.90%,21.90%,0.257,0.27,0.249,0.342,0.506,0.354,0.352,125,0.9,22.6,17.1,6.1,16505
Nolan Arenado,COL,155,662,41,102,118,3,9.40%,14.00%,0.269,0.312,0.315,0.379,0.583,0.392,0.341,130,2.5,28.3,12.5,6.1,9777
Trevor Story,COL,145,656,35,111,85,23,8.80%,26.50%,0.26,0.361,0.294,0.363,0.554,0.38,0.337,122,5.9,25,15.1,6,12564
Rafael Devers,BOS,156,702,32,129,115,8,6.80%,17.00%,0.244,0.339,0.311,0.361,0.555,0.377,0.359,132,2.3,31.3,4.9,5.9,17350
J.T. Realmuto,PHI,145,593,25,92,83,9,6.90%,20.70%,0.217,0.309,0.275,0.328,0.493,0.34,0.338,107,5.4,11.1,27.8,5.7,11739
Yoan Moncada,CHW,132,559,25,83,79,10,7.20%,27.50%,0.233,0.406,0.315,0.367,0.548,0.379,0.354,139,3.5,31.5,6.1,5.6,17232
Ronald Acuna Jr.,ATL,156,715,41,127,101,37,10.60%,26.30%,0.238,0.337,0.28,0.365,0.518,0.369,0.39,125,8.1,32.1,1.5,5.5,18401
DJ LeMahieu,NYY,145,655,26,109,102,5,7.00%,13.70%,0.191,0.349,0.327,0.375,0.518,0.375,0.366,136,-0.8,29.4,2.8,5.4,9874
Yasmani Grandal,MIL,153,632,28,79,77,5,17.20%,22.00%,0.222,0.279,0.246,0.38,0.468,0.361,0.363,121,-5.1,12.5,20.6,5.2,11368
Pete Alonso,NYM,161,693,53,103,120,1,10.40%,26.40%,0.323,0.28,0.26,0.358,0.583,0.384,0.373,144,-2.2,37.9,-9.7,4.9,19251
Juan Soto,WSN,150,659,34,110,110,12,16.40%,20.00%,0.266,0.312,0.282,0.401,0.548,0.394,0.407,143,-0.5,36.5,-7.5,4.9,20123
Josh Donaldson,ATL,155,659,37,96,94,4,15.20%,23.50%,0.262,0.292,0.259,0.379,0.521,0.377,0.383,131,-3,24,4.5,4.9,5038
Max Muncy,LAD,141,589,35,101,98,4,15.30%,25.30%,0.265,0.283,0.251,0.374,0.515,0.372,0.379,133,4.8,30.3,-0.8,4.7,13301
Kris Bryant,CHC,147,634,31,108,77,4,11.70%,22.90%,0.239,0.331,0.282,0.382,0.521,0.379,0.346,134,3.8,31.9,-4.1,4.7,15429
Carlos Santana,CLE,158,686,34,110,93,4,15.70%,15.70%,0.234,0.293,0.281,0.397,0.515,0.38,0.366,138,1.5,35.2,-11.1,4.7,2396
Francisco Lindor,CLE,143,654,32,101,74,22,7.00%,15.00%,0.234,0.291,0.284,0.335,0.518,0.349,0.328,118,-2,13,12.1,4.7,12916
Jeff McNeil,NYM,133,567,23,83,75,5,6.20%,13.20%,0.214,0.337,0.318,0.384,0.531,0.384,0.347,144,-2.9,30.1,-0.8,4.6,15362
Aaron Judge,NYY,102,447,27,75,55,3,14.30%,31.50%,0.267,0.36,0.272,0.381,0.54,0.382,0.392,141,0.4,23.8,7.6,4.6,15640
Ozzie Albies,ATL,160,702,24,102,86,15,7.70%,16.00%,0.205,0.325,0.295,0.352,0.5,0.354,0.346,116,4.8,19.2,4.6,4.5,16556
Bryce Harper,PHI,157,682,35,98,114,15,14.50%,26.10%,0.25,0.313,0.26,0.372,0.51,0.365,0.383,124,-0.6,21.2,3,4.5,11579
Max Kepler,MIN,134,596,36,98,90,1,10.10%,16.60%,0.267,0.244,0.252,0.336,0.519,0.355,0.339,122,-1.8,14.9,10,4.5,12144
Javier Baez,CHC,138,561,29,89,85,11,5.00%,27.80%,0.25,0.345,0.281,0.316,0.531,0.347,0.327,112,1.2,10.4,15.7,4.3,12979
Nelson Cruz,MIN,120,521,41,81,108,0,10.70%,25.10%,0.328,0.351,0.311,0.392,0.639,0.417,0.412,164,-4.5,38.1,-12.3,4.3,2434
Eugenio Suarez,CIN,159,662,49,87,103,3,10.60%,28.50%,0.301,0.312,0.271,0.358,0.572,0.381,0.349,130,-6.2,20.4,1.9,4.3,12552
Paul DeJong,STL,159,664,30,97,78,9,9.30%,22.40%,0.211,0.259,0.233,0.318,0.444,0.322,0.324,101,2.3,3,18.5,4.2,18015
Austin Meadows,TBR,138,591,33,83,89,12,9.10%,22.20%,0.268,0.331,0.291,0.364,0.558,0.38,0.373,144,-1,32.2,-10.3,4.2,15672
Jorge Polanco,MIN,153,704,22,107,79,4,8.50%,16.50%,0.19,0.328,0.295,0.356,0.485,0.352,0.335,120,3.1,21.2,-3.9,4.1,13152
Michael Brantley,HOU,148,637,22,88,90,3,8.00%,10.40%,0.191,0.32,0.311,0.372,0.503,0.367,0.348,132,0,26.3,-6.8,4.1,4106
Mark Canha,OAK,126,497,26,80,58,3,13.50%,21.50%,0.244,0.308,0.273,0.396,0.517,0.386,0.358,146,-1.2,28.3,-4.4,4,11445
Jonathan Villar,BAL,162,714,24,111,73,40,8.50%,24.60%,0.179,0.341,0.274,0.339,0.453,0.335,0.309,107,10.5,16.8,-1.4,3.9,10071
Freddie Freeman,ATL,158,692,38,113,121,6,12.60%,18.40%,0.255,0.318,0.295,0.389,0.549,0.387,0.392,137,-0.1,34,-16.2,3.9,5361
Anthony Rizzo,CHC,146,613,27,89,94,5,11.60%,14.00%,0.227,0.306,0.293,0.405,0.52,0.39,0.383,140,-5.4,27.2,-6.9,3.9,3473
Mitch Garver,MIN,93,359,31,70,67,0,11.40%,24.20%,0.357,0.277,0.273,0.365,0.63,0.404,0.373,155,-1.1,24.3,3.1,3.9,15161
Ramon Laureano,OAK,123,481,24,79,67,13,5.60%,25.60%,0.233,0.342,0.288,0.34,0.521,0.356,0.338,127,4.9,21.3,1.8,3.9,17128
Matt Olson,OAK,127,547,36,73,91,0,9.30%,25.20%,0.277,0.3,0.267,0.351,0.545,0.368,0.382,135,-0.5,23.7,-3,3.9,14344
Michael Conforto,NYM,151,648,33,90,92,7,13.00%,23.00%,0.237,0.29,0.257,0.363,0.494,0.358,0.371,127,1.4,24.4,-6,3.9,16376
Kolten Wong,STL,148,549,11,61,59,24,8.60%,15.10%,0.138,0.321,0.285,0.361,0.423,0.334,0.29,109,7.1,13.6,7.2,3.8,12532
Yordan Alvarez,HOU,87,369,27,58,78,0,14.10%,25.50%,0.342,0.366,0.313,0.412,0.655,0.432,0.405,176,-1.8,34.3,-8.5,3.8,19556
Fernando Tatis Jr.,SDP,84,372,22,61,53,16,8.10%,29.60%,0.272,0.41,0.317,0.379,0.59,0.398,0.344,151,3,27.9,-2.1,3.7,19709
Gleyber Torres,NYY,144,604,38,96,90,5,7.90%,21.40%,0.256,0.296,0.278,0.337,0.535,0.358,0.334,125,-0.5,18.8,-2.6,3.6,16997
Brett Gardner,NYY,141,550,28,86,74,10,9.50%,19.60%,0.253,0.265,0.251,0.325,0.503,0.344,0.29,115,4.6,15.4,2.5,3.6,9927
Jorge Soler,KCR,162,679,48,95,117,3,10.80%,26.20%,0.304,0.294,0.265,0.354,0.569,0.378,0.389,136,-0.7,30.4,-17.2,3.6,14221
Jose Ramirez,CLE,129,542,23,68,83,24,9.60%,13.70%,0.224,0.256,0.255,0.327,0.479,0.334,0.339,108,6.7,12.2,5.7,3.6,13510
Eduardo Escobar,ARI,158,699,35,94,118,5,7.20%,18.60%,0.242,0.283,0.269,0.32,0.511,0.341,0.324,108,2.9,9.9,3.9,3.6,6153
Trea Turner,WSN,122,569,19,96,57,35,7.60%,19.90%,0.2,0.348,0.298,0.353,0.497,0.356,0.337,118,6.5,19.7,-1.5,3.6,16252
Trey Mancini,BAL,154,679,35,106,97,1,9.30%,21.10%,0.244,0.326,0.291,0.364,0.535,0.373,0.359,132,-2.1,25.9,-13.4,3.5,15149
Christian Vazquez,BOS,138,521,23,66,72,4,6.30%,19.40%,0.201,0.305,0.276,0.32,0.477,0.331,0.306,102,-4.2,-3.2,20.8,3.5,9774
Jose Altuve,HOU,124,548,31,89,74,6,7.50%,15.00%,0.252,0.303,0.298,0.353,0.55,0.374,0.333,137,-5,21.1,-4.8,3.5,5417
Tommy Pham,TBR,145,654,21,77,68,25,12.40%,18.80%,0.176,0.316,0.273,0.369,0.45,0.349,0.355,123,0.6,19.9,-7.5,3.4,2967
Tim Anderson,CHW,123,518,18,81,56,17,2.90%,21.00%,0.173,0.399,0.335,0.357,0.508,0.363,0.319,128,1.7,20.4,-3.7,3.4,15172
Justin Turner,LAD,135,549,27,80,67,2,9.30%,16.00%,0.219,0.304,0.29,0.372,0.509,0.37,0.371,131,-1.1,21.4,-5.3,3.3,5235
Tommy Edman,STL,92,349,11,59,36,15,4.60%,17.50%,0.196,0.346,0.304,0.35,0.5,0.357,0.327,124,6.6,17.5,5.1,3.3,19470
Corey Seager,LAD,134,541,19,82,87,1,8.10%,18.10%,0.211,0.303,0.272,0.335,0.483,0.34,0.327,112,3.4,11.7,4.1,3.3,13624
Joey Gallo,TEX,70,297,22,54,49,4,17.50%,38.40%,0.344,0.368,0.253,0.389,0.598,0.401,0.393,144,2.6,19.3,3.7,3.3,14128
Tom Murphy,SEA,76,281,18,32,40,2,6.80%,31.00%,0.262,0.34,0.273,0.324,0.535,0.355,0.299,126,1.3,10.7,12.5,3.2,13499
Manny Machado,SDP,156,661,32,81,85,5,9.80%,19.40%,0.206,0.274,0.256,0.334,0.462,0.335,0.345,109,-1.7,6.3,4.9,3.2,11493
J.D. Martinez,BOS,146,657,36,98,105,2,11.00%,21.00%,0.252,0.342,0.304,0.383,0.557,0.386,0.389,139,-4.6,27.8,-18.1,3.2,6184
