Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Jakob Junis,KCR,2,0,0.5,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,13619
Carson Kelly,ARI,134,0.14179104,0.14179104,1,0.3125,0.41044776,0.60714286,1.01759062,0.29464286,0.30232558,28.23700163,12.01008271,0.422753565,163.8406793,13620
Jeimer Candelario,DET,173,0.05780347,0.21965318,0.26315789,0.27329193,0.32369942,0.42857143,0.75227085,0.1552795,0.34166667,22.4317434,1.482064491,0.324780662,105.4465155,13621
Corey Seager,LAD,124,0.0483871,0.21774194,0.22222222,0.33043478,0.37096774,0.54782609,0.91879383,0.21739131,0.38554217,22.72075182,7.704796995,0.389525682,146.9022445,13624
Jack Lopez,BOS,3,0,0.33333333,0,0,0,0,0,0,0,-0.417159466,-0.780448696,0,-100,13663
Tyrone Taylor,MIL,89,0.03370787,0.24719101,0.13636364,0.29761905,0.33707865,0.5,0.83707865,0.20238095,0.35087719,13.9827955,3.205215019,0.357953893,122.4191837,13675
Corey Oswalt,NYM,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,13677
John Gant,STL,4,0,0.75,0,0,0,0,0,0,0,-0.556212622,-1.040598261,0,-100,13684
Sal Romano,CIN,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,13690
Robert Gsellman,NYM,2,0.5,0.5,1,0,0.5,0,0.5,0,0,0.294204826,0.052012007,0.345858276,121.9930873,13696
Jake Faria,ARI,2,0,0,0,0.5,0.5,1,1.5,0.5,0.5,0.749204854,0.507012034,0.620823264,292.5281527,13699
Jacob Stallings,PIT,151,0.09271523,0.19205298,0.48275862,0.2,0.27152318,0.32592593,0.59744911,0.12592593,0.22115385,11.88408403,-6.40147386,0.263187646,62.96970673,13723
Max Fried,ATL,16,0,0.1875,0,0.4,0.4,0.46666667,0.86666667,0.06666667,0.5,2.74994081,0.812398252,0.375794876,132.9957827,13743
David Dahl,TEX,64,0.046875,0.3125,0.15,0.10169492,0.15625,0.13559322,0.29184322,0.0338983,0.15,-1.621290538,-9.371460769,0.13744682,-19.90759058,13744
Tomas Nido,NYM,42,0.04761905,0.21428571,0.22222222,0.2,0.23809524,0.3,0.53809524,0.1,0.23333333,1.969348572,-3.116700642,0.224736917,43.29956825,13755
Chris Taylor,LAD,170,0.1,0.3,0.33333333,0.29605263,0.37058824,0.52631579,0.89690403,0.23026316,0.41052632,29.79560639,9.209216714,0.379900583,140.6487401,13757
Chris Stratton,PIT,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,13761
Travis Jankowski,PHI,22,0.04545455,0.27272727,0.16666667,0.3,0.33333333,0.4,0.73333333,0.1,0.42857143,2.709207439,0.045086423,0.316903412,95.72668623,13768
Adalberto Mondesi,KCR,41,0.02439024,0.26829268,0.09090909,0.25641026,0.29268293,0.53846154,0.83114447,0.28205128,0.28,6.140069638,1.175116834,0.349067671,120.1136186,13769
Rob Refsnyder,MIN,64,0.125,0.21875,0.57142857,0.30357143,0.390625,0.39285714,0.78348214,0.08928571,0.3902439,9.576214952,1.826044721,0.348911228,121.8792745,13770
Zach Eflin,PHI,15,0,0.53333333,0,0,0,0,0,0,0,-2.085797331,-3.902243479,0,-100,13774
Alex Wood,SFG,2,0.5,0.5,1,0,0.5,0,0.5,0,0,0.294204826,0.052012007,0.345858276,118.9338805,13781
Kevin Plawecki,BOS,78,0.06410256,0.11538462,0.55555556,0.30985915,0.37179487,0.42253521,0.79433008,0.11267606,0.33333333,11.67655374,2.231033771,0.348997099,117.5502044,13807
Alec Mills,CHC,7,0,0.85714286,0,0,0,0,0,0,0,-0.973372088,-1.821046957,0,-100,13834
Matt Duffy,CHC,102,0.10784314,0.14705882,0.73333333,0.26966292,0.3627451,0.31460674,0.67735184,0.04494382,0.32432432,11.96209027,-0.389743533,0.309808231,91.27609197,13836
Joey Wendle,TBR,134,0.08208955,0.26119403,0.31428571,0.20168067,0.28358209,0.31932773,0.60290982,0.11764706,0.26506024,11.11537724,-5.11154168,0.268321977,72.83087464,13853
Anthony Bemboom,LAA,5,0.2,0,1,0.5,0.6,0.5,1.1,0,0.5,1.33166763,0.726185581,0.489965439,216.7927186,13854
Chris Flexen,SEA,2,0,0,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,13896
Patrick Kivlehan,SDP,5,0,0.6,0,0.25,0.2,0.25,0.45,0,0.5,0.032045358,-0.573436691,0.175811064,8.978686835,13910
Brent Suter,MIL,2,0,0.5,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,13942
Rio Ruiz,2 Tms,17,0.05882353,0.23529412,0.25,0.25,0.29411765,0.5625,0.85661765,0.3125,0.27272727,2.65049054,0.591851572,0.356504914,120.5037907,14103
Kevin Gausman,SFG,20,0.05,0.55,0.09090909,0.15789474,0.2,0.15789474,0.35789474,0,0.375,-0.026818566,-2.448746763,0.166444126,2.367066744,14107
Albert Almora Jr.,NYM,23,0.08695652,0.26086957,0.33333333,0.14285714,0.2173913,0.19047619,0.40786749,0.04761905,0.2,0.428333135,-2.356884292,0.19057349,21.10331537,14109
Eric Haase,DET,127,0.04724409,0.2992126,0.15789474,0.28333333,0.31496063,0.59166667,0.9066273,0.30833334,0.31944444,21.96391769,6.58467364,0.377091663,140.7852454,14111
Joey Gallo,2 Tms,218,0.1559633,0.38073394,0.40963855,0.2,0.33944954,0.42777778,0.76722732,0.22777778,0.29069767,30.34865919,3.949641841,0.336324086,114.3525136,14128
Daniel Vogelbach,MIL,34,0.08823529,0.29411765,0.3,0.09677419,0.17647059,0.19354839,0.37001898,0.0967742,0.1,0.103897978,-4.013379958,0.171758203,1.446349238,14130
Tim Lopes,MIL,3,0,0.66666667,0,0,0,0,0,0,0,-0.417159466,-0.780448696,0,-100,14137
Jose Rondon,STL,34,0.14705882,0.17647059,0.83333333,0.39285714,0.47058824,0.78571429,1.25630253,0.39285715,0.4,9.532686282,5.415408347,0.506934222,224.4545112,14140
Daniel Robertson,MIL,23,0.13043478,0.43478261,0.3,0.15789474,0.30434783,0.36842105,0.67276888,0.21052631,0.25,2.530793844,-0.254423583,0.301056634,85.45257782,14145
Byron Buxton,MIN,86,0.04651163,0.25581395,0.18181818,0.325,0.37209302,0.625,0.99709302,0.3,0.39622642,17.79957744,7.385286194,0.418218683,168.6999704,14161
Carlos Correa,HOU,221,0.14479638,0.14479638,1,0.29032258,0.39819005,0.44623656,0.84442661,0.15591398,0.32666667,36.61926519,9.856958607,0.368333634,137.541213,14162
Andrew Velazquez,NYY,25,0.04,0.32,0.125,0.20833333,0.24,0.25,0.49,0.04166667,0.3125,1.032537957,-1.994872289,0.217983375,34.22920001,14196
Jorge Soler,2 Tms,168,0.13095238,0.25,0.52380952,0.22377622,0.33532934,0.51048951,0.84581885,0.28671329,0.2247191,26.68696634,6.342769484,0.360083322,125.5715659,14221
Mitch Haniger,SEA,229,0.09170306,0.22707424,0.40384615,0.28571429,0.34934498,0.57142857,0.92077355,0.28571428,0.30215827,40.3379138,12.60683594,0.380963969,148.2077862,14274
Frankie Montas,OAK,2,0,1,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,14309
Wilmer Difo,PIT,67,0.04477612,0.29850746,0.15,0.234375,0.26865672,0.28125,0.54990672,0.046875,0.34090909,4.210039114,-3.903420346,0.24401124,50.51064189,14320
Anthony Alford,PIT,50,0.08,0.4,0.2,0.15555556,0.24,0.37777778,0.61777778,0.22222222,0.18181818,3.765646157,-2.289174336,0.259090825,60.30796919,14329
Matt Olson,OAK,254,0.1023622,0.18110236,0.56521739,0.27027027,0.35433071,0.60810811,0.96243882,0.33783784,0.24358974,48.32494215,17.56645405,0.398014918,158.986336,14344
Raimel Tapia,COL,138,0.04347826,0.12318841,0.35294118,0.29230769,0.32116788,0.34615385,0.66732173,0.05384616,0.33333333,14.22448384,-2.486820717,0.292646277,68.22445847,14350
Lewis Brinson,MIA,96,0.0625,0.27083333,0.23076923,0.25555556,0.30208333,0.44444444,0.74652777,0.18888888,0.31666667,12.04427394,0.419018592,0.319701884,102.9401838,14352
Harold Ramirez,CLE,126,0.05555556,0.15079365,0.36842105,0.28813559,0.33333333,0.44067797,0.7740113,0.15254238,0.32989691,17.27704734,2.018899702,0.333792463,111.5657605,14387
Ronald Guzman,TEX,3,0.33333333,0.33333333,1,0,0.33333333,0,0.33333333,0,0,0.155151671,-0.208137559,0.230572184,43.00330858,14388
Hyun Jin Ryu,TOR,2,0,1,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,14444
Scott Heineman,CIN,28,0.10714286,0.39285714,0.27272727,0.12,0.21428571,0.36,0.57428571,0.24,0.08333333,1.871055355,-1.519644121,0.248830078,47.79310845,14453
Jake Cave,MIN,41,0,0.41463415,0,0.12195122,0.12195122,0.12195122,0.24390244,0,0.20833333,-2.064623696,-7.0295765,0.107201868,-41.40763739,14477
Renato Nunez,DET,11,0.09090909,0.27272727,0.33333333,0.1,0.18181818,0.4,0.58181818,0.3,0,0.702876008,-0.629184501,0.245294105,51.74932121,14503
Luis Marte,MIA,3,0.33333333,0.33333333,1,0,0.33333333,0,0.33333333,0,0,0.155151671,-0.208137559,0.230572184,45.03190216,14515
Pedro Severino,BAL,161,0.07453416,0.21118012,0.35294118,0.29251701,0.34161491,0.47619048,0.81780539,0.18367347,0.33333333,24.08442373,4.587901739,0.348868122,120.165366,14523
Anthony Santander,BAL,157,0.04458599,0.31210191,0.14285714,0.25675676,0.29299363,0.40540541,0.69839904,0.14864865,0.35416667,17.1413209,-1.87081545,0.300024304,87.16889363,14551
Nomar Mazara,DET,23,0.08695652,0.34782609,0.25,0.0952381,0.17391304,0.0952381,0.26915114,0,0.15384615,-0.59897803,-3.384195457,0.136588859,-21.68657737,14553
Wyatt Mathisen,ARI,21,0.04761905,0.38095238,0.125,0.10526316,0.19047619,0.10526316,0.29573935,0,0.18181818,-0.295871729,-2.838896336,0.151036175,-12.69629093,14555
Max Moroff,STL,3,0,1,0,0,0,0,0,0,0,-0.417159466,-0.780448696,0,-100,14556
Franmil Reyes,CLE,146,0.12328767,0.29452055,0.41860465,0.25984252,0.35616438,0.51968504,0.87584942,0.25984252,0.32,23.98707572,6.306999879,0.366637924,133.7545327,14566
Franchy Cordero,BOS,18,0.05555556,0.33333333,0.16666667,0.1875,0.23529412,0.1875,0.42279412,0,0.3,0.41330213,-1.766433248,0.195816619,14.06903287,14567
David Bote,CHC,100,0.09,0.25,0.36,0.21348315,0.29,0.41573034,0.70573034,0.20224719,0.24590164,11.16306125,-0.946579738,0.302985737,86.84346276,14593
Webster Rivas,SDP,26,0.15384615,0.19230769,0.8,0.27272727,0.38461538,0.31818182,0.7027972,0.04545455,0.35294118,3.337729348,0.189222692,0.323222667,104.7531886,14636
Chi Chi Gonzalez,COL,9,0,0.55555556,0,0.125,0.125,0.125,0.25,0,0.33333333,-0.433253372,-1.52312106,0.109881915,-50.51901478,14663
Duane Underwood Jr.,PIT,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,14677
Harold Castro,DET,44,0,0.22727273,0,0.21428571,0.21428571,0.23809524,0.45238095,0.02380953,0.28125,1.053451895,-4.274790138,0.197002121,19.12564091,14691
Manuel Margot,TBR,209,0.09569378,0.12440191,0.76923077,0.27272727,0.34615385,0.40641711,0.75257096,0.13368984,0.29936306,27.34063281,2.031483154,0.326174424,111.9131321,14712
Brett Phillips,TBR,84,0.10714286,0.48809524,0.2195122,0.10958904,0.20731707,0.16438356,0.37170063,0.05479452,0.22580645,0.819275608,-9.35282282,0.179853,13.06560085,14735
Julio Urias,LAD,12,0,0.25,0,0.4,0.4,0.4,0.8,0,0.57142857,1.822455584,0.369298665,0.351622128,122.2760013,14765
Emilio Pagan,SDP,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,14771
Yu Chang,CLE,132,0.04545455,0.27272727,0.16666667,0.22580645,0.26515152,0.40322581,0.66837733,0.17741936,0.28235294,12.7122271,-3.272499,0.28446233,78.24075753,14773
Luke Voit,NYY,92,0.10869565,0.25,0.43478261,0.25925926,0.34782609,0.40740741,0.7552335,0.14814815,0.32727273,12.46958136,1.328711658,0.331882217,111.1736357,14811
Kyle Farmer,CIN,122,0.04918033,0.16393443,0.3,0.25663717,0.31147541,0.47787611,0.78935152,0.22123894,0.25581395,17.0832074,2.309445393,0.33730581,105.276502,14813
JaCoby Jones,DET,43,0.06976744,0.37209302,0.1875,0.15,0.20930233,0.15,0.35930233,0,0.25,0.101514539,-5.105631085,0.170918176,1.504615189,14818
Michael Lorenzen,CIN,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,14843
Mike Yastrzemski,SFG,126,0.08730159,0.26190476,0.33333333,0.16964286,0.25396825,0.25892857,0.51289682,0.08928571,0.21794872,6.853935756,-8.404211886,0.233810234,46.1353682,14854
Caleb Smith,ARI,5,0,0.2,0,0.2,0.2,0.4,0.6,0.2,0.25,0.332045388,-0.273436662,0.248329306,50.51583745,14875
Pat Valaika,BAL,113,0.07079646,0.21238938,0.33333333,0.21359223,0.26548673,0.29126214,0.55674887,0.07766991,0.25316456,7.332004457,-6.351889857,0.246487243,51.00189787,14885
Tony Kemp,OAK,97,0.17525773,0.18556701,0.94444444,0.24,0.40206186,0.33333333,0.73539519,0.09333333,0.28571429,13.88765512,2.14130336,0.341107472,120.5424744,14894
Jon Gray,COL,9,0,0.55555556,0,0,0,0,0,0,0,-1.251478399,-2.341346087,0,-100,14916
Andrew Knapp,PHI,50,0.04,0.42,0.0952381,0.125,0.16,0.14583333,0.30583333,0.02083333,0.22222222,-1.144168656,-7.198989149,0.140407125,-18.94436877,14942
Johan Camargo,ATL,4,0,0.75,0,0,0,0,0,0,0,-0.556212622,-1.040598261,0,-100,14950
Victor Caratini,SDP,76,0.05263158,0.30263158,0.17391304,0.27142857,0.31578947,0.32857143,0.6443609,0.05714286,0.38297872,6.679526968,-2.523800181,0.274290151,72.96134004,14968
Chad Kuhl,PIT,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,14975
Chase De Jong,PIT,6,0,0.33333333,0,0,0,0,0,0,0,-0.834318932,-1.560897392,0,-100,15036
German Marquez,COL,13,0,0.15384615,0,0.3,0.3,0.4,0.7,0.1,0.375,1.418822445,-0.155430883,0.299975717,72.98645444,15038
Austin Voth,WSN,1,0,0,0,1,1,1,2,0,1,0.58825798,0.46716157,0.879055321,460.6139471,15047
Dom Nunez,COL,41,0.07317073,0.36585366,0.2,0.15789474,0.2195122,0.31578947,0.53530167,0.15789473,0.19047619,2.24529774,-2.719655064,0.234253857,30.28643445,15055
Yency Almonte,COL,2,0,1,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,15068
Kyle McGowin,WSN,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,15071
Adam Engel,CHW,49,0.04081633,0.2244898,0.18181818,0.2,0.26530612,0.37777778,0.6430839,0.17777778,0.21875,4.537117079,-1.396607004,0.279977651,76.19133096,15082
Jonathan Davis,2 Tms,47,0.10638298,0.25531915,0.41666667,0.1025641,0.23404255,0.20512821,0.43917076,0.10256411,0.11111111,1.662762651,-4.028768613,0.210823904,29.45780255,15104
Ryan McMahon,COL,173,0.0982659,0.26589595,0.36956522,0.22875817,0.31213873,0.35294118,0.66507991,0.12418301,0.29807692,17.82473458,-3.124944324,0.292594521,68.190832,15112
Hunter Dozier,KCR,158,0.11392405,0.29746835,0.38297872,0.20437956,0.30379747,0.33576642,0.63956389,0.13138686,0.28409091,15.38905155,-3.744181206,0.285784953,77.36293842,15117
Tim Locastro,2 Tms,57,0.03508772,0.21052632,0.16666667,0.18367347,0.29824561,0.36734694,0.66559255,0.18367347,0.2,6.113936374,-0.788558988,0.297705719,84.99584739,15124
Ashton Goudeau,COL,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,15139
Trey Mancini,BAL,223,0.09865471,0.20627803,0.47826087,0.28787879,0.3632287,0.53535354,0.89858224,0.24747475,0.32394366,38.74554934,11.74104994,0.378061744,139.8871361,15149
Mitch Garver,MIN,105,0.0952381,0.3047619,0.3125,0.21505376,0.28571429,0.4516129,0.73732719,0.23655914,0.24561404,12.46578354,-0.249339492,0.311556347,96.64416116,15161
Josh VanMeter,ARI,47,0.08510638,0.25531915,0.33333333,0.3255814,0.38297872,0.48837209,0.87135081,0.16279069,0.43333333,8.038940603,2.347409339,0.374791693,132.6794659,15170
Tim Anderson,CHW,143,0.03496503,0.20979021,0.16666667,0.31884058,0.34265734,0.48550725,0.82816459,0.16666667,0.38461538,21.69847804,4.381691433,0.351460546,124.481646,15172
Chad Pinder,OAK,114,0.0877193,0.23684211,0.37037037,0.29126214,0.35964912,0.52427184,0.88392096,0.2330097,0.35211268,19.62188923,5.816898506,0.376097681,144.1801324,15191
Jake Bauers,2 Tms,70,0.05714286,0.37142857,0.15384615,0.23076923,0.27536232,0.26153846,0.53690078,0.03076923,0.38461538,4.294422511,-4.182326179,0.241708383,53.45146088,15194
Adam Frazier,2 Tms,181,0.06077348,0.17127072,0.35483871,0.27439024,0.34254144,0.40853659,0.75107803,0.13414635,0.32307692,24.07818475,2.159734565,0.328848196,106.596907,15223
Austin Wynns,BAL,42,0.07142857,0.19047619,0.375,0.25641026,0.30952381,0.33333333,0.64285714,0.07692307,0.3,4.08265068,-1.003398534,0.285551575,77.39183227,15271
Mike Tauchman,2 Tms,40,0.15,0.375,0.4,0.18181818,0.325,0.21212121,0.53712121,0.03030303,0.33333333,3.132918574,-1.710937821,0.262728873,65.5921756,15274
Garrett Cooper,MIA,71,0.08450704,0.28169014,0.3,0.34375,0.4084507,0.5625,0.9709507,0.21875,0.45,14.49060273,5.892757628,0.414739217,164.6867019,15279
Steven Brault,PIT,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,15291
